"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 1999"
"Category","Total"
"Lithuania",46.8
"Estonia",35.5
"Hungary",35
"Latvia",32.7
"Slovenia",30.7
"Japan",24.2
"Finland",23.4
"Austria",19.9
"Korea",18.9
"Switzerland",18.3
"Belgium",18.2
"France",18
"Luxembourg",16.6
"Czechia",16.4
"Poland",15.5
"Denmark",14.6
"Slovak Rep.",14
"Sweden",13.9
"New Zealand",13.7
"Norway",13.5
"Germany",13.4
"Australia",13.4
"Canada",13.3
"Ireland",11.7
"Iceland",11.3
"United States",11.3
"Netherlands",9.8
"Chile",8.3
"Spain",8.1
"United Kingdom",7.6
"Costa Rica",7.5
"Israel",7.4
"Italy",6.9
"Colombia",6.4
"Portugal",5.5
"Mexico",4.2
"Greece",3.5
